task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
13	fc/e713c8	349160	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (64T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:02:07.235	39.8s	29.2s	52.2%	91.3 MB	155.4 MB	3 GB	1.1 MB
1	2b/d9ea63	349148	NF_PVACSEQ:PVACSEQ_PIPELINE:CONFIGURE_PVACSEQ_IEDB:DOWNLOAD_MHC_I (download_mhc_i)	COMPLETED	0	2026-07-01 09:00:18.000	2m 39s	2m 22s	8.6%	15.3 MB	82.1 MB	1.3 GB	2.3 GB
14	f8/1f4db6	349161	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (11T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:02:22.237	39.8s	25s	52.6%	86.5 MB	122.5 MB	3 GB	1 MB
15	be/58a1cf	349162	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (88T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:02:32.239	44.8s	28.7s	57.9%	91.7 MB	155.6 MB	3.1 GB	2.2 MB
19	fc/c74957	349163	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (84T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:02:42.249	34.8s	26.6s	55.4%	92.4 MB	155.5 MB	3.1 GB	1.3 MB
18	d5/5097aa	349164	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (5M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:02:47.235	39.8s	25.6s	49.5%	86.5 MB	122.5 MB	3 GB	352.8 KB
16	ce/8d23b8	349166	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (26T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:03:02.218	29.8s	18.6s	59.5%	90.4 MB	179.2 MB	3 GB	564.3 KB
17	87/e17456	349165	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (66M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:02:57.250	39.8s	28.1s	56.0%	91.6 MB	155.6 MB	3.1 GB	1.8 MB
20	b3/56369a	349167	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (52M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:03:17.287	39.8s	27.5s	50.2%	88.4 MB	140.7 MB	3 GB	585.2 KB
21	00/0bd2d0	349168	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (2M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:03:17.488	39.6s	29.1s	50.0%	91.3 MB	155.4 MB	3 GB	950.4 KB
22	ab/f5fa97	349169	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (6M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:03:27.212	39.8s	28.4s	48.9%	89.8 MB	140.7 MB	3 GB	720.1 KB
25	87/ff5011	349170	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (59M-ensemble-annotated)	COMPLETED	0	2026-07-01 09:03:32.263	34.8s	20.7s	59.4%	95.9 MB	155.6 MB	3 GB	1 MB
23	90/cd0683	349171	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (5T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:03:37.250	39.8s	24.7s	51.7%	86.6 MB	122.5 MB	3 GB	578.9 KB
26	98/dae47f	349173	NF_PVACSEQ:PVACSEQ_PIPELINE:ENSEMBLVEP_VEP (14T-ensemble-annotated)	COMPLETED	0	2026-07-01 09:03:57.427	39.6s	29s	48.0%	82.2 MB	123.1 MB	3 GB	721.7 KB
